,Property.Name.,Property.Type.,Built.Year.,Model.,Address.,District.,Bedrooms.,Bedrooms.Additional,Area.Land,Area.Builtup,Floor.Description,Floor.,Asking.,PSF_land.,PSF.,PostalCode,Developer.,Bathrooms.,Tenure.,No..of.Units.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,lon,lat,is_HDB
523,Goodwood Grand,Apartment,2017,Apartment,16 Balmoral Road (259802), D10 - Tanglin / Holland / Bukit Timah ,3,NA,NA,1109,GROUND,1,2588800,NA,2334,259802,Feature (Balmoral) Pte Ltd,3,FREEHOLD,73,"Verdant Garden Walk, Al Fresco Dining, Reflective Pond, Children's Play Zone, Green Trellis, Sun Deck, Guardhouse, Observatory Veranda, Meditation Corner, Arrival Courtyard, Grand Walkway, Bbq Patio, Grand Clubhouse, Lap Pool, Tranquil Garden, Indoor Gymnasium, Children's Splash Pool, Stepping Lawn, Waterscape, Play Lawn, Park/greenery View, City View, Swimming Pool View, Original Condition, Air Conditioning, Corner Unit, Water Heater, Intercom, Cooker Hob/hood, Air Conditioning, Balcony, Walk-in-wardrobe, Private Garden","NEWTON MRT 6 mins  DT11NS21 540m, STEVENS MRT DUE 2016 12 mins  DT10TE11 1.01 km, ORCHARD MRT 14 mins  NS22TE14 1.19 km",NA,"Anglo-chinese School (primary) 430m, Singapore Chinese Girls' Primary 910m, Anglo-chinese School (junior) 1.16 km","Anglo-chinese School (barker Road) 560m, Raffles Girls' School (secondary) 630m, Singapore Chinese Girls' 910m","FAR EAST PLAZA 880m, Pacific Plaza 960m, SHAW CENTRE 1.02 km",Partially Furnished,"Singapore Chinese Girls' School 910m, Singapore Chinese Girls' Primary School 910m",NA,103.833316,1.315408,No
524,Kallang Riverside,Apartment,2018,Apartment,51 Kampong Bugis (338986), D12 - Balestier / Toa Payoh ,2,1,NA,1033,NA,NA,1980000,NA,1917,338986,The Singapore-Johore Express Pte Ltd,3,FREEHOLD,212,"Corner Unit, Park/greenery View, Swimming Pool View, Sea View, Renovated, City View, Air Conditioning, Water Heater, Intercom, Cooker Hob/hood, Jacuzzi, Balcony, Walk-in-wardrobe, Private Garden, Outdoor Patio","LAVENDER MRT 5 mins  EW11 470m, KALLANG MRT 8 mins  EW10 670m, BENDEMEER MRT 10 mins  DT23 870m",Opp Blk 4 2 mins  100 230m,"Stamford Primary 1.17 km, Bendemeer Primary 1.65 km, Farrer Park Primary 1.89 km",Northlight 1.83 km,"GOLDEN MILE SHOPPING CENTRE 520m, KALLANG WAVE MALL 740m, LEISURE PARK KALLANG 1.18 km",Partially Furnished,Dunman High School 1.98 km,NA,103.8664872,1.306862,No
525,The Asana,Apartment,2017,Apartment,17 Queens Road (266744), D10 - Tanglin / Holland / Bukit Timah ,2,NA,NA,753,NA,NA,1500000,NA,1992,266744,Aurum Land Pte Ltd,2,FREEHOLD,48,"City View, Swimming Pool View, Corner Unit, Park/greenery View, Original Condition, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Walk-in-wardrobe, Outdoor Patio, Balcony","BOTANIC GARDENS MRT 5 mins  CC19DT9 460m, TAN KAH KEE MRT DUE 2016 7 mins  DT8 590m, FARRER ROAD MRT 7 mins  CC20 630m","Bef Crown Ctr 2 mins  852961961C6666B6774170170A171174154156157151 160m, Lutheran Twrs 2 mins  961961C8551864816517493153 170m, Coronation Plaza 2 mins  746666B67154156157174151170170A171961961C852 220m","Nanyang Primary 380m, Raffles Girls' Primary 1.03 km, Singapore Chinese Girls' Primary 1.9 km","St. Margaret's Secondary 250m, Hwa Chong Institution 790m, National Junior College 1.19 km",CORONATION SHOPPING PLAZA 220m,Partially Furnished,"Hwa Chong Institution 790m, National Junior College 1.19 km, Singapore Chinese Girls' School 1.9 km",NA,103.8107638,1.3221465,No
526,The Alps Residences,Condominium,NA,Condominium,103 Tampines Street 86 (528576), D18 - Pasir Ris / Tampines ,3,NA,NA,937,NA,NA,908000,NA,969,528576,Mcc Land (Tampines) Pte Ltd,2,LEASEHOLD/99 years,626,"Swimming Pool View, Park/greenery View, Original Condition, City View, Corner Unit, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony","TAMPINES WEST MRT 17 mins  DT31 1.4 km, TAMPINES MRT 20 mins  DT32EW2 1.66 km","Opp Blk 871A 2 mins  692932N118 190m, Blk 874 2 mins  29311869 210m","Poi Ching 680m, St. Hilda's Primary 1.01 km, Junyuan Primary 1.3 km","Junyuan Secondary 450m, Springfield Secondary 590m, St. Hilda's Secondary 910m","TAMPINES CENTRAL COMMUNITY COMPLEX 520m, Century Square 1.58 km, Tampines Mall 1.68 km",Partially Furnished,NA,NA,103.9284624,1.351751,No
527,Highline Residences,Condominium,2018,Condominium,1 Kim Tian Road (169280), D3 - Alexandra / Commonwealth ,3,NA,NA,1227,HIGH,NA,1950000,NA,1589,169280,Harvestland Developments Pte Ltd,3,LEASEHOLD/99 years,500,"Pavilion Area, Reflective Water Features, Fitness Pavilion, Pool Pavilion, Art Lounge, Reflexology Walk, Children's Pool, Picnic Lawn, Pool Deck, Swing Garden, Olympic-length Grandpool, Arrival Plaza With Drop-off Areas, Water Courtyards, Planters For Community Farming, Dreamcatcher Garden, Party Lawn, Water Cascade, Water Feature, Communal Function Rooms, Barbeque Pavilion, Butterfly Garden, Guard House, Sun Deck, Children's Playground, Aqua Spring, Green Prisms, Aqua Deck, Gym Lounge, Gymnasium, Leisure Pool, Spa Pods, Cocoon Day Beds, Viewing Deck, Spice Garden, Maze Garden, Warm-up Deck, Garden Deck, Fern Alcove, Clubhouse With Concierge, Reading Lounge, Terrace Garden, Reading Loft, Outdoor Fitness Stations, Park/greenery View, City View, Swimming Pool View, Original Condition, Corner Unit, Water Heater, Intercom, Cooker Hob/hood, Air Conditioning, Balcony, Walk-in-wardrobe, Maidsroom","TIONG BAHRU MRT 4 mins  EW17 360m, HAVELOCK MRT DUE 2021 9 mins  TE16 750m, GREAT WORLD MRT DUE 2021 13 mins  TE15 1.07 km","Blk 126 CP 2 mins  121 180m, Blk 121 2 mins  121 230m, Ctrl Green Condo 2 mins  5336316851195NR5121122123123M 230m","Zhangde Primary 400m, Alexandra Primary 1.04 km, Chij (kellock) 1.05 km","Outram Secondary 860m, Gan Eng Seng 880m, Henderson Secondary 1.14 km","Tiong Bahru Plaza 360m, CONCORDE SHOPPING CENTRE 730m, Concorde 730m",Partially Furnished,NA,NA,103.8298196,1.2845521,No
528,Goodwood Grand,Apartment,2017,Apartment,16 Balmoral Road (259802), D10 - Tanglin / Holland / Bukit Timah ,3,NA,NA,1044,NA,NA,2498800,NA,2393,259802,Feature (Balmoral) Pte Ltd,2,FREEHOLD,73,"Arrival Courtyard, Stepping Lawn, Indoor Gymnasium, Play Lawn, Children's Play Zone, Green Trellis, Observatory Veranda, Guardhouse, Waterscape, Tranquil Garden, Al Fresco Dining, Children's Splash Pool, Meditation Corner, Bbq Patio, Verdant Garden Walk, Sun Deck, Grand Walkway, Grand Clubhouse, Reflective Pond, Lap Pool, Park/greenery View, City View, Swimming Pool View, Original Condition, Air Conditioning, Corner Unit, Water Heater, Intercom, Cooker Hob/hood, Air Conditioning, Balcony, Walk-in-wardrobe","NEWTON MRT 6 mins  DT11NS21 540m, STEVENS MRT DUE 2016 12 mins  DT10TE11 1.01 km, ORCHARD MRT 14 mins  NS22TE14 1.19 km",NA,"Anglo-chinese School (primary) 430m, Singapore Chinese Girls' Primary 910m, Anglo-chinese School (junior) 1.16 km","Anglo-chinese School (barker Road) 560m, Raffles Girls' School (secondary) 630m, Singapore Chinese Girls' 910m","FAR EAST PLAZA 880m, Pacific Plaza 960m, SHAW CENTRE 1.02 km",Partially Furnished,"Singapore Chinese Girls' School 910m, Singapore Chinese Girls' Primary School 910m",NA,103.833316,1.315408,No
529,Kallang Riverside,Apartment,2018,Apartment,51 Kampong Bugis (338986), D12 - Balestier / Toa Payoh ,3,NA,NA,1141,HIGH,NA,2300000,NA,2016,338986,The Singapore-Johore Express Pte Ltd,2,FREEHOLD,212,"Corner Unit, Park/greenery View, Swimming Pool View, Sea View, Renovated, City View, Original Condition, Air Conditioning, Water Heater, Intercom, Cooker Hob/hood, Jacuzzi, Balcony, Walk-in-wardrobe, Private Garden, Outdoor Patio","LAVENDER MRT 5 mins  EW11 470m, KALLANG MRT 8 mins  EW10 670m, BENDEMEER MRT 10 mins  DT23 870m",Opp Blk 4 2 mins  100 230m,"Stamford Primary 1.17 km, Bendemeer Primary 1.65 km, Farrer Park Primary 1.89 km",Northlight 1.83 km,"GOLDEN MILE SHOPPING CENTRE 520m, KALLANG WAVE MALL 740m, LEISURE PARK KALLANG 1.18 km",Partially Furnished,Dunman High School 1.98 km,NA,103.8664872,1.306862,No
530,The Asana,Apartment,2017,Apartment,17 Queens Road (266744), D10 - Tanglin / Holland / Bukit Timah ,2,NA,NA,764,NA,NA,1680000,NA,2199,266744,Aurum Land Pte Ltd,2,FREEHOLD,48,"City View, Swimming Pool View, Corner Unit, Park/greenery View, Original Condition, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Walk-in-wardrobe, Outdoor Patio, Balcony","BOTANIC GARDENS MRT 5 mins  CC19DT9 460m, TAN KAH KEE MRT DUE 2016 7 mins  DT8 590m, FARRER ROAD MRT 7 mins  CC20 630m","Bef Crown Ctr 2 mins  852961961C6666B6774170170A171174154156157151 160m, Lutheran Twrs 2 mins  961961C8551864816517493153 170m, Coronation Plaza 2 mins  746666B67154156157174151170170A171961961C852 220m","Nanyang Primary 380m, Raffles Girls' Primary 1.03 km, Singapore Chinese Girls' Primary 1.9 km","St. Margaret's Secondary 250m, Hwa Chong Institution 790m, National Junior College 1.19 km",CORONATION SHOPPING PLAZA 220m,Partially Furnished,"Hwa Chong Institution 790m, National Junior College 1.19 km, Singapore Chinese Girls' School 1.9 km",NA,103.8107638,1.3221465,No
531,The Alps Residences,Condominium,NA,Condominium,103 Tampines Street 86 (528576), D18 - Pasir Ris / Tampines ,4,NA,NA,1410,NA,NA,1345000,NA,954,528576,Mcc Land (Tampines) Pte Ltd,4,LEASEHOLD/99 years,626,"Park/greenery View, City View, Swimming Pool View, Original Condition, Corner Unit, Water Heater, Intercom, Cooker Hob/hood, Air Conditioning, Balcony, Walk-in-wardrobe, Maidsroom","TAMPINES WEST MRT 17 mins  DT31 1.4 km, TAMPINES MRT 20 mins  DT32EW2 1.66 km","Opp Blk 871A 2 mins  692932N118 190m, Blk 874 2 mins  29311869 210m","Poi Ching 680m, St. Hilda's Primary 1.01 km, Junyuan Primary 1.3 km","Junyuan Secondary 450m, Springfield Secondary 590m, St. Hilda's Secondary 910m","TAMPINES CENTRAL COMMUNITY COMPLEX 520m, Century Square 1.58 km, Tampines Mall 1.68 km",Partially Furnished,NA,NA,103.9284624,1.351751,No
532,Jurong West Street 64,HDB Executive,2000,NA,669D Jurong West Street 64 (644669),NA,4,NA,NA,1399.307,NA,NA,570000,NA,407,644669,NA,NA,LEASEHOLD/99 years,NA,"City View, Cooker Hob/hood, Water Heater, Balcony","BOON LAY MRT 7 mins  EW27 630m, PIONEER MRT 11 mins  EW28 890m, LAKESIDE MRT 24 mins  EW26 1.98 km","Blk 669 CP 1 min  181181M193258502243G 90m, Blk 685B 1 min  243W258502502ANR5193181181M 100m, Blk 670A 1 min  243G258502193181181M 110m","West Grove Primary 460m, Westwood Primary 520m, Jurong West Primary 630m","Boon Lay Secondary 150m, River Valley High 680m, Dunearn Secondary 760m","Jurong Point 530m, PIONEER MALL 640m, GEK POH SHOPPING CENTRE 850m",NA,River Valley High School 680m, Jurong West ,103.7031704,1.3434194,Yes
533,Leedon Residence,Condominium,2015,Condominium,14 Leedon Heights (267936), D10 - Tanglin / Holland / Bukit Timah ,4,1,NA,5285,GROUND,1,9842958,NA,1862,267936,Leedon Residence Developments Pte Ltd,4,FREEHOLD,381,"Kids’ Pool, The Forest Walk, The Dining Lounge, Tennis Courts, Tree Grove, Tree Avenue, The Gym, The Grill, Arrival Court, The Club, Recreational Garden, Lap Pool, Reflective Pool, Water Features, Discovery Playground, Fitness Corner, Jacuzzi, Pool Cabanas, Pavillions, Renovated, City View, Corner Unit, Air Conditioning, Park/greenery View, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Jacuzzi, Balcony, Maidsroom, Walk-in-wardrobe, Private Garden","HOLLAND VILLAGE MRT 6 mins  CC21 500m, FARRER ROAD MRT 11 mins  CC20 930m, COMMONWEALTH MRT 14 mins  EW20 1.18 km","Fairlodge 2 mins  1651067577487 160m, Aft Estoril Mans 2 mins  77577481061655NNR8 180m","Nanyang Primary 1.19 km, New Town Primary 1.46 km","St. Margaret's Secondary 1.3 km, Queensway Secondary 1.4 km, Hwa Chong Institution 1.44 km","HOLLAND ROAD SHOPPING CENTRE 670m, Holland Road Shopping Centre 670m, THE STAR VISTA 1.52 km",Fully Furnished,"Hwa Chong Institution 1.44 km, National Junior College 1.99 km",NA,103.800866,1.312713,No
534,Leedon Residence,Condominium,2015,Condominium,16 Leedon Heights (267937), D10 - Tanglin / Holland / Bukit Timah ,5,1,NA,4704,HIGH,NA,10377072,NA,2206,267937,Leedon Residence Developments Pte Ltd,6,FREEHOLD,381,"Tree Grove, Pavillions, Tree Avenue, Lap Pool, Fitness Corner, Kids’ Pool, Tennis Courts, Discovery Playground, Recreational Garden, Jacuzzi, The Club, The Grill, The Dining Lounge, Pool Cabanas, The Forest Walk, Arrival Court, Reflective Pool, The Gym, Water Features, Corner Unit, Park/greenery View, Renovated, Air Conditioning, Hairdryer, Intercom, Water Heater, Jacuzzi, Cooker Hob/hood, Balcony, Maidsroom, Walk-in-wardrobe","HOLLAND VILLAGE MRT 7 mins  CC21 570m, FARRER ROAD MRT 10 mins  CC20 870m, COMMONWEALTH MRT 15 mins  EW20 1.2 km","Fairlodge 1 min  1651067577487 140m, Aft Estoril Mans 2 mins  77577481061655NNR8 180m","Nanyang Primary 1.14 km, New Town Primary 1.47 km","St. Margaret's Secondary 1.24 km, Queensway Secondary 1.4 km, Hwa Chong Institution 1.42 km","HOLLAND ROAD SHOPPING CENTRE 740m, Holland Road Shopping Centre 740m, CORONATION SHOPPING PLAZA 1.56 km",Fully Furnished,"Hwa Chong Institution 1.42 km, National Junior College 1.97 km",NA,103.801481,1.312749,No
535,Leedon Residence,Condominium,2015,Condominium,16 Leedon Heights (267937), D10 - Tanglin / Holland / Bukit Timah ,3,1,NA,3789,GROUND,1,6799788,NA,1795,267937,Leedon Residence Developments Pte Ltd,4,FREEHOLD,381,"Tree Grove, Tennis Courts, The Club, The Forest Walk, Tree Avenue, Fitness Corner, Discovery Playground, Pavillions, Lap Pool, Pool Cabanas, Reflective Pool, Water Features, The Grill, The Dining Lounge, Arrival Court, Kids’ Pool, The Gym, Jacuzzi, Recreational Garden, Corner Unit, Park/greenery View, Renovated, Air Conditioning, Intercom, Water Heater, Jacuzzi, Cooker Hob/hood, Bathtub, Balcony, Maidsroom, Walk-in-wardrobe, Private Garden","HOLLAND VILLAGE MRT 7 mins  CC21 570m, FARRER ROAD MRT 10 mins  CC20 870m, COMMONWEALTH MRT 15 mins  EW20 1.2 km","Fairlodge 1 min  1651067577487 140m, Aft Estoril Mans 2 mins  77577481061655NNR8 180m","Nanyang Primary 1.14 km, New Town Primary 1.47 km","St. Margaret's Secondary 1.24 km, Queensway Secondary 1.4 km, Hwa Chong Institution 1.42 km","HOLLAND ROAD SHOPPING CENTRE 740m, Holland Road Shopping Centre 740m, CORONATION SHOPPING PLAZA 1.56 km",Fully Furnished,"Hwa Chong Institution 1.42 km, National Junior College 1.97 km",NA,103.801481,1.312749,No
536,Leedon Residence,Condominium,2015,Condominium,8 Leedon Heights (266216), D10 - Tanglin / Holland / Bukit Timah ,5,1,NA,3767,PENTHOUSE,NA,6080000,NA,1614,266216,Leedon Residence Developments Pte Ltd,5,FREEHOLD,381,"Pavillions, Pool Cabanas, Tree Grove, Kids’ Pool, Tennis Courts, The Grill, Jacuzzi, Discovery Playground, Lap Pool, Reflective Pool, Fitness Corner, Tree Avenue, Arrival Court, The Dining Lounge, Water Features, The Forest Walk, The Gym, Recreational Garden, The Club, Swimming Pool View, Renovated, Corner Unit, Park/greenery View, City View, Jacuzzi, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Hairdryer, Private Lift, Balcony, Maidsroom, Walk-in-wardrobe, Private Garden","HOLLAND VILLAGE MRT 7 mins  CC21 590m, FARRER ROAD MRT 10 mins  CC20 830m, COMMONWEALTH MRT 15 mins  EW20 1.24 km","Fairlodge 2 mins  1651067577487 170m, Aft Estoril Mans 2 mins  77577481061655NNR8 220m, Tulip Gdn 3 mins  4816593174186153961961C855 240m","Nanyang Primary 1.1 km, New Town Primary 1.5 km","St. Margaret's Secondary 1.21 km, Hwa Chong Institution 1.38 km, Queensway Secondary 1.43 km","HOLLAND ROAD SHOPPING CENTRE 770m, Holland Road Shopping Centre 770m, CORONATION SHOPPING PLAZA 1.52 km",Fully Furnished,"Hwa Chong Institution 1.38 km, National Junior College 1.94 km",NA,103.8026367,1.3144121,No
537,Leedon Residence,Condominium,2015,Condominium,14 Leedon Heights (267936), D10 - Tanglin / Holland / Bukit Timah ,4,1,NA,5285,GROUND,1,9842958,NA,1862,267936,Leedon Residence Developments Pte Ltd,4,FREEHOLD,381,"Tree Avenue, The Forest Walk, The Grill, Jacuzzi, Pavillions, The Club, Discovery Playground, Recreational Garden, Kids’ Pool, Arrival Court, Reflective Pool, Tennis Courts, Water Features, Lap Pool, Fitness Corner, The Gym, Pool Cabanas, Tree Grove, The Dining Lounge, Renovated, City View, Corner Unit, Air Conditioning, Park/greenery View, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Jacuzzi, Balcony, Maidsroom, Walk-in-wardrobe, Private Garden","HOLLAND VILLAGE MRT 6 mins  CC21 500m, FARRER ROAD MRT 11 mins  CC20 930m, COMMONWEALTH MRT 14 mins  EW20 1.18 km","Fairlodge 2 mins  1651067577487 160m, Aft Estoril Mans 2 mins  77577481061655NNR8 180m","Nanyang Primary 1.19 km, New Town Primary 1.46 km","St. Margaret's Secondary 1.3 km, Queensway Secondary 1.4 km, Hwa Chong Institution 1.44 km","HOLLAND ROAD SHOPPING CENTRE 670m, Holland Road Shopping Centre 670m, THE STAR VISTA 1.52 km",Fully Furnished,"Hwa Chong Institution 1.44 km, National Junior College 1.99 km",NA,103.800866,1.312713,No
538,The Riverina,Terrace,2000,Corner Terrace,Riverina Walk, D18 - Pasir Ris / Tampines ,5,NA,2163,3050,NA,NA,2300000,1063,754,NA,Ho Bee(Pasir Ris)Pte Ltd(Ho Bee Group),NA,LEASEHOLD/99 years,215,"Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Maidsroom",PASIR RIS MRT 10 mins  EW1 850m,"Aft Blk 601 2 mins  518518A4N3583595888 170m, Opp Blk 601 2 mins  5888NR7358359518 180m, Bef Pasir Ris Way 2 mins  403 220m","Elias Park Primary 440m, Park View Primary 530m, Meridian Primary 1.11 km","Siglap Secondary 560m, Hai Sing Catholic 1.29 km, Coral Secondary 1.42 km","ELIAS MALL 260m, PASIR RIS WEST PLAZA 860m, White Sands 940m",Fully Furnished,NA,NA,103.9440507,1.3786918,No
539,6 Derbyshire,Condominium,2017,Condominium,6 Derbyshire Road (309462), D11 - Newton / Novena ,2,NA,NA,829,HIGH,NA,1760911,NA,2124,309462,Fantasia (Novena) Pte Ltd,1,FREEHOLD,168,"Gymnasium, Children Playground, Pavilion, Community Sky Garden, Simming Pool, Bbq Pits, Spa Pool, Reflective Pool, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","NOVENA MRT 7 mins  NS20 590m, FARRER PARK VIEW 10 mins  NE8 840m, NEWTON MRT 12 mins  DT11NS21 990m","Opp Carlisle Rd 1 min  131141 100m, Bef Carlisle Rd 1 min  141131 120m, Opp United Sq 1 min  9808511311411665657 150m","St. Joseph's Institution Junior 220m, Farrer Park Primary 650m, Anglo-chinese School (junior) 880m","Balestier Hill Secondary 990m, Northlight 1.14 km, Anglo-chinese School (barker Road) 1.22 km","United Square Shopping Mall 350m, GOLDHILL SHOPPING CENTRE 370m, VELOCITY @ NOVENA SQUARE 500m",Not Furnished,"School Of The Arts, Singapore 1.85 km",NA,103.8459867,1.3157676,No
540,Forte Suites,Apartment,2016,Apartment,88 Mergui Road (219062), D8 - Farrer Park / Serangoon Rd ,2,NA,NA,603,HIGH,NA,1126000,NA,1867,219062,Forte Developments Pte. Ltd.,1,FREEHOLD,106,"Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","FARRER PARK VIEW 7 mins  NE8 630m, NOVENA MRT 12 mins  NS20 1.0 km, BOON KENG MRT 13 mins  NE9 1.11 km","Blk 51 2 mins  131141 200m, Kentish Green 2 mins  131141 210m, Blk 41A 2 mins  141131 220m","Farrer Park Primary 590m, St. Joseph's Institution Junior 690m, Hong Wen 780m","Northlight 460m, Balestier Hill Secondary 1.18 km, Bendemeer Secondary 1.27 km","SHAW PLAZA - TWIN HEIGHTS 840m, SERANGOON PLAZA 860m, CITY SQUARE MALL 890m",Not Furnished,NA,NA,103.8519244,1.3178263,No
541,Commonwealth Towers,Condominium,2019,Condominium,232 Commonwealth Avenue (149740), D3 - Alexandra / Commonwealth ,3,NA,NA,1076,MID,NA,1620000,NA,1506,149740,Wealthall Developments Pte. Ltd.,2,LEASEHOLD/99 years,845,"Bin Centre, 50M Lap Pool With Sun Deck, Children's Party Area, Pool Decks, Outdoor Fitness Area, Private Dining Pavilion, Spa Pavilions With Jacuzzi, Substation, Lifestyle Pool, Tennis Court, Entry To Carpark, Bbq Pavilions, Water Court, Covered Linkway To Bus Stop, Gym, Hydrotherapy Pool With Aqua Gym, Entry Court, Cabana With Jacuzzi, Exit From Carpark, Side Gate, Arrival Court, Guard House, Relaxation Pavilion, Clubhouse, Sky Terrace, Corner Unit, Renovated, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony","QUEENSTOWN MRT 1 min  EW19 110m, COMMONWEALTH MRT 15 mins  EW20 1.21 km, REDHILL MRT 16 mins  EW18 1.3 km","Queenstown Stn 1 min  51111145970186195 80m, Queenstown Stn 1 min  195970NR551145111186 120m, Queenstown Pr Sch 2 mins  32122 220m","Queenstown Primary 160m, New Town Primary 850m, Gan Eng Seng Primary 1.49 km","Queensway Secondary 710m, Queenstown Secondary 770m, Crescent Girls' 1.25 km","DAWSON PLACE 580m, Anchorpoint 780m, ANCHORPOINT SHOPPING CENTRE 780m",Partially Furnished,NA,NA,103.806465,1.2954478,No
542,Marina One Residences,Apartment,NA,Apartment,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,2,NA,NA,1130,NA,NA,2550750,NA,2257,18978,Ms Residential1 Pte Ltd/Ms Residential 2 Pte Ltd/Ms Commercial Pte Ltd,2,LEASEHOLD/99 years,1042,"Air Conditioning, Cooker Hob/hood, Water Heater","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",Partially Furnished,NA,NA,103.8533256,1.2766721,No
543,Symphony Suites,Condominium,2019,Condominium,19 Yishun Close (768013), D27 - Sembawang / Yishun ,4,NA,NA,1023,HIGH,NA,989000,NA,967,768013,El Developments (Yishun) Pte Ltd,3,LEASEHOLD/99 years,660,"Corner Unit, Air Conditioning, Cooker Hob/hood, Water Heater","YISHUN MRT 15 mins  NS13 1.22 km, CANBERRA U+C (NS12) 24 mins  NS12 1.96 km",Bet Blks 318A/318B 1 min  803 110m,"Chongfu 690m, Xishan Primary 760m, Huamin Primary 910m","Northland Secondary 480m, Yishun Town Secondary 760m, North View Secondary 870m","JUNCTION NINE 380m, Northpoint 1.13 km, NORTHPOINT SHOPPING CENTRE 1.13 km",Not Furnished,NA,NA,103.8448696,1.434563,No
544,Forte Suites,Apartment,2016,Apartment,88 Mergui Road (219062), D8 - Farrer Park / Serangoon Rd ,3,NA,NA,624,HIGH,NA,1217900,NA,1952,219062,Forte Developments Pte. Ltd.,2,FREEHOLD,106,"Air Conditioning, Water Heater, Cooker Hob/hood, Balcony","FARRER PARK VIEW 7 mins  NE8 630m, NOVENA MRT 12 mins  NS20 1.0 km, BOON KENG MRT 13 mins  NE9 1.11 km","Blk 51 2 mins  131141 200m, Kentish Green 2 mins  131141 210m, Blk 41A 2 mins  141131 220m","Farrer Park Primary 590m, St. Joseph's Institution Junior 690m, Hong Wen 780m","Northlight 460m, Balestier Hill Secondary 1.18 km, Bendemeer Secondary 1.27 km","SHAW PLAZA - TWIN HEIGHTS 840m, SERANGOON PLAZA 860m, CITY SQUARE MALL 890m",Partially Furnished,NA,NA,103.8519244,1.3178263,No
545,Marina One Residences,Apartment,NA,Apartment,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,3,NA,NA,1539,HIGH,NA,3577710,NA,2325,18978,Ms Residential1 Pte Ltd/Ms Residential 2 Pte Ltd/Ms Commercial Pte Ltd,3,LEASEHOLD/99 years,1042,"Swimming Pool View, Park/greenery View, Air Conditioning, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",Not Furnished,NA,NA,103.8533256,1.2766721,No
546,Sturdee Residences,Condominium,NA,Condominium,10 Beatty Road (209955), D8 - Farrer Park / Serangoon Rd ,4,NA,NA,1302,HIGH,NA,1731700,NA,1330,209955,Sl Capital (1) Pte Ltd,3,LEASEHOLD/99 years,305,"Corner Unit, City View, Park/greenery View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony","BENDEMEER MRT 4 mins  DT23 360m, FARRER PARK VIEW 8 mins  NE8 710m, LAVENDER MRT 9 mins  EW11 750m","Hoa Nam Bldg 1 min  12513013914114764656666A66B672123857 100m, Eminent Plaza 2 mins  1331411451367 180m, Opp Eminent Plaza 2 mins  6713141145133 210m","Farrer Park Primary 900m, Hong Wen 980m, Stamford Primary 1.04 km","Northlight 770m, Bendemeer Secondary 1.31 km, Chij Katong Convent 1.81 km","CITY SQUARE MALL 300m, SERANGOON PLAZA 490m, MUSTAFA CENTRE 520m",Not Furnished,"School Of The Arts, Singapore 1.9 km",NA,103.8591692,1.3137756,No
547,Marina One Residences,Apartment,2017,Apartment,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,2,NA,NA,1119,HIGH,NA,2594450,NA,2319,18978,Ms Residential1 Pte Ltd/Ms Residential 2 Pte Ltd/Ms Commercial Pte Ltd,2,LEASEHOLD/99 years,1042,"Corner Unit, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",Partially Furnished,NA,NA,103.8533256,1.2766721,No
